user_id,age,annual_income,purchase_amount,loyalty_score,region,purchase_frequency,high_value_customer
3,45,65000,500,8.0,West,22,false
6,41,61000,480,7.8,South,21,false
9,50,70000,600,9.0,North,25,true
12,42,62000,520,8.2,North,23,true
15,49,69000,590,8.9,West,24,true
19,46,66000,510,8.1,North,22,true
21,52,72000,610,9.2,South,26,true
23,44,63000,460,7.5,North,21,false
26,47,67000,530,8.3,West,23,true
29,51,71000,600,9.0,West,25,true
30,40,60000,450,7.2,East,22,false
32,43,64000,470,7.8,South,21,false
35,55,75000,640,9.5,South,28,true
37,48,68000,550,8.5,North,24,true
39,53,73000,620,9.3,West,27,true
43,46,66000,510,8.1,North,22,true
45,52,72000,610,9.2,West,26,true
47,41,61000,480,7.8,South,21,false
48,50,70000,600,9.0,West,25,true
51,49,69000,590,8.9,West,24,true
53,45,65000,500,8.0,South,22,false
54,40,60000,450,7.2,West,20,false
56,54,74000,630,9.4,South,27,true
59,42,62000,520,8.2,South,23,true
60,55,75000,640,9.5,West,28,true
63,51,71000,600,9.0,West,25,true
65,43,63000,470,7.8,South,21,false
66,41,61000,480,7.7,West,22,false
67,50,70000,600,9.0,North,25,true
69,48,68000,550,8.5,West,24,true
73,46,66000,510,8.1,North,22,true
75,52,72000,610,9.2,West,26,true
77,41,61000,480,7.8,South,21,false
78,50,70000,600,9.0,West,25,true
81,49,69000,590,8.9,West,24,true
83,45,65000,500,8.0,South,22,false
84,40,60000,450,7.2,West,20,false
86,54,74000,630,9.4,South,27,true
89,42,62000,520,8.2,South,23,true
90,55,75000,640,9.5,West,28,true
93,51,71000,600,9.0,West,25,true
95,43,63000,470,7.8,South,21,false
96,41,61000,480,7.7,West,22,false
97,50,70000,600,9.0,North,25,true
99,48,68000,550,8.5,West,24,true
103,46,66000,510,8.1,North,22,true
105,52,72000,610,9.2,West,26,true
107,41,61000,480,7.8,South,21,false
108,50,70000,600,9.0,West,25,true
111,49,69000,590,8.9,West,24,true
113,45,65000,500,8.0,South,22,false
114,40,60000,450,7.2,West,20,false
116,54,74000,630,9.4,South,27,true
119,42,62000,520,8.2,South,23,true
120,55,75000,640,9.5,West,28,true
123,51,71000,600,9.0,West,25,true
125,43,63000,470,7.8,South,21,false
126,41,61000,480,7.7,West,22,false
127,50,70000,600,9.0,North,25,true
129,48,68000,550,8.5,West,24,true
133,46,66000,510,8.1,North,22,true
135,52,72000,610,9.2,West,26,true
137,41,61000,480,7.8,South,21,false
138,50,70000,600,9.0,West,25,true
141,49,69000,590,8.9,West,24,true
143,45,65000,500,8.0,South,22,false
144,40,60000,450,7.2,West,20,false
146,54,74000,630,9.4,South,27,true
149,42,62000,520,8.2,South,23,true
150,55,75000,640,9.5,West,28,true
153,51,71000,600,9.0,West,25,true
155,43,63000,470,7.8,South,21,false
156,41,61000,480,7.7,West,22,false
157,50,70000,600,9.0,North,25,true
159,48,68000,550,8.5,West,24,true
163,46,66000,510,8.1,North,22,true
165,52,72000,610,9.2,West,26,true
167,41,61000,480,7.8,South,21,false
168,50,70000,600,9.0,West,25,true
171,49,69000,590,8.9,West,24,true
173,45,65000,500,8.0,South,22,false
174,40,60000,450,7.2,West,20,false
176,54,74000,630,9.4,South,27,true
179,42,62000,520,8.2,South,23,true
180,55,75000,640,9.5,West,28,true
183,51,71000,600,9.0,West,25,true
185,43,63000,470,7.8,South,21,false
186,41,61000,480,7.7,West,22,false
187,50,70000,600,9.0,North,25,true
189,48,68000,550,8.5,West,24,true
193,46,66000,510,8.1,North,22,true
195,52,72000,610,9.2,West,26,true
197,41,61000,480,7.8,South,21,false
198,50,70000,600,9.0,West,25,true
201,49,69000,590,8.9,West,24,true
203,45,65000,500,8.0,South,22,false
204,40,60000,450,7.2,West,20,false
206,54,74000,630,9.4,South,27,true
209,42,62000,520,8.2,South,23,true
210,55,75000,640,9.5,West,28,true
213,51,71000,600,9.0,West,25,true
215,43,63000,470,7.8,South,21,false
216,41,61000,480,7.7,West,22,false
217,50,70000,600,9.0,North,25,true
219,48,68000,550,8.5,West,24,true
223,46,66000,510,8.1,North,22,true
225,52,72000,610,9.2,West,26,true
227,41,61000,480,7.8,South,21,false
228,50,70000,600,9.0,West,25,true
231,49,69000,590,8.9,West,24,true
233,45,65000,500,8.0,South,22,false
234,40,60000,450,7.2,West,20,false
236,54,74000,630,9.4,South,27,true
