Major_code,Major,Major_category,Grad_total,Grad_sample_size,Grad_employed,Grad_full_time_year_round,Grad_unemployed,Grad_unemployment_rate,Grad_median,Grad_P25,Grad_P75,Nongrad_total,Nongrad_employed,Nongrad_full_time_year_round,Nongrad_unemployed,Nongrad_unemployment_rate,Nongrad_median,Nongrad_P25,Nongrad_P75,Grad_share,Grad_premium
5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,9173,200,7098,6511,681,0.087543386,75000.0,53000,110000.0,86062,73607,62435,3928,0.050660992,65000.0,47000,98000.0,0.09631963,0.153846154
6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,53864,882,40492,29553,2482,0.057755852,60000.0,40000,89000.0,461977,347166,250596,25484,0.068385885,48000.0,34000,71000.0,0.104419773,0.25
6211,HOSPITALITY MANAGEMENT,Business,24417,437,18368,14784,1465,0.073866788,65000.0,45000,100000.0,179335,145597,113579,7409,0.048422938,50000.0,35000,75000.0,0.11983686,0.3
2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,5411,72,3590,2701,316,0.080901178,47000.0,24500,85000.0,37575,29738,23249,1661,0.052899774,41600.0,29000,60000.0,0.125878193,0.129807692
2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,9109,171,7512,5622,466,0.058410629,57000.0,40600,83700.0,53819,43163,34231,3389,0.072800309,52000.0,36000,78000.0,0.144752733,0.096153846
3201,COURT REPORTING,Law & Public Policy,1542,22,1008,860,0,0.0,75000.0,55000,120000.0,8921,6967,6063,518,0.069205077,50000.0,34000,75000.0,0.147376469,0.5
6206,MARKETING AND MARKETING RESEARCH,Business,190996,3738,151570,123045,8324,0.052059489,80000.0,50000,120000.0,1029181,817906,662346,45519,0.052719113,60000.0,40000,91500.0,0.156531388,0.333333333
1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,17488,386,13104,11207,473,0.03483833,67000.0,41600,100000.0,89169,71781,61335,1869,0.025376782,55000.0,38000,80000.0,0.163964859,0.218181818
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,5611,98,4716,3981,119,0.024612203,85000.0,56000,114000.0,28314,22024,18381,2222,0.091643983,60000.0,40000,85000.0,0.165394252,0.416666667
1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,33928,688,28517,22523,899,0.030561599,60000.0,43000,90000.0,163435,127832,100330,8706,0.063762469,51000.0,37800,78000.0,0.171906588,0.176470588
6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,24525,370,19059,13301,2035,0.096472931,57000.0,40000,80000.0,116158,93915,63674,8160,0.07994122,50000.0,32000,75000.0,0.174328099,0.14
5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,3187,45,1984,1481,319,0.13851498,62000.0,40000,100000.0,14842,11921,9949,653,0.051932559,50000.0,32400,75000.0,0.176770758,0.24
2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,6065,111,4442,3669,310,0.06523569,78000.0,50000,103000.0,27999,23069,20418,998,0.04146757,61000.0,42000,85000.0,0.178047205,0.278688525
1903,MASS MEDIA,Communications & Journalism,42915,828,35939,28054,1957,0.051641334,57000.0,41000,90000.0,190020,153722,117581,12816,0.07695541,50000.0,35000,72000.0,0.184235946,0.14
5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,27410,538,20035,18088,980,0.046633357,90000.0,62000,124000.0,121260,94538,80650,4326,0.04375708,69000.0,45000,100000.0,0.184368063,0.304347826
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,11165,218,9037,7988,803,0.081605691,80000.0,54000,110000.0,48776,41552,34402,2476,0.05623694,58000.0,37700,84000.0,0.186266495,0.379310345
6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,22553,408,17691,14807,865,0.04661565,75000.0,47000,106000.0,95860,72005,58441,3694,0.048798531,55000.0,38000,85000.0,0.190460507,0.363636364
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,14816,315,12433,11146,407,0.031697819,80000.0,54000,105000.0,60571,50092,44199,3316,0.062088077,65000.0,43000,90000.0,0.196532559,0.230769231
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,19885,408,14752,12467,603,0.039270596,84500.0,60000,111000.0,81076,64389,56559,3431,0.050589797,70000.0,48000,99000.0,0.196957241,0.207142857
6099,MISCELLANEOUS FINE ARTS,Arts,1733,27,1100,770,44,0.038461538,55000.0,40000,76000.0,7044,5220,3556,1001,0.160906607,46000.0,30000,60000.0,0.197447875,0.195652174
5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,188228,3794,154146,133549,6591,0.041004871,68000.0,45000,100000.0,695361,565748,490943,29133,0.04897282,52000.0,36000,75000.0,0.213026645,0.307692308
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,813399,16129,622357,527935,32089,0.049032311,77000.0,50000,115000.0,2996892,2253649,1882507,136978,0.057297939,60000.0,40000,88000.0,0.213474246,0.283333333
5503,CRIMINOLOGY,Social Science,18499,381,14584,12074,692,0.045299817,65000.0,44000,98000.0,67082,53419,45563,3189,0.056334794,50000.0,35000,75000.0,0.216157792,0.3
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,41970,963,36227,32121,1459,0.038714642,89000.0,64500,116000.0,150110,129179,115177,5690,0.042189087,72000.0,50000,100000.0,0.218502707,0.236111111
