Rank,Major_code,Major,Total,Men,Women,Major_category,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
1,2419,PETROLEUM ENGINEERING,2339.0,2057.0,282.0,Engineering,0.120564344,36,1976,1849,270,1207,37,0.018380527,110000,95000,125000,1534,364,193
2,2416,MINING AND MINERAL ENGINEERING,756.0,679.0,77.0,Engineering,0.101851852,7,640,556,170,388,85,0.117241379,75000,55000,90000,350,257,50
3,2415,METALLURGICAL ENGINEERING,856.0,725.0,131.0,Engineering,0.153037383,3,648,558,133,340,16,0.024096386,73000,50000,105000,456,176,0
4,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,1258.0,1123.0,135.0,Engineering,0.107313196,16,758,1069,150,692,40,0.050125313,70000,43000,80000,529,102,0
5,2405,CHEMICAL ENGINEERING,32260.0,21239.0,11021.0,Engineering,0.341630502,289,25694,23170,5180,16697,1672,0.061097712,65000,50000,75000,18314,4440,972
6,2418,NUCLEAR ENGINEERING,2573.0,2200.0,373.0,Engineering,0.144966965,17,1857,2038,264,1449,400,0.177226407,65000,50000,102000,1142,657,244
7,6202,ACTUARIAL SCIENCE,3777.0,2110.0,1667.0,Business,0.441355573,51,2912,2924,296,2482,308,0.095652174,62000,53000,72000,1768,314,259
8,5001,ASTRONOMY AND ASTROPHYSICS,1792.0,832.0,960.0,Physical Sciences,0.535714286,10,1526,1085,553,827,33,0.021167415,62000,31500,109000,972,500,220
9,2414,MECHANICAL ENGINEERING,91227.0,80320.0,10907.0,Engineering,0.119558903,1029,76442,71298,13101,54639,4650,0.057342278,60000,48000,70000,52844,16384,3253
10,2408,ELECTRICAL ENGINEERING,81527.0,65511.0,16016.0,Engineering,0.196450256,631,61928,55450,12695,41413,3895,0.059173845,60000,45000,72000,45829,10874,3170
11,2407,COMPUTER ENGINEERING,41542.0,33258.0,8284.0,Engineering,0.199412643,399,32506,30315,5146,23621,2275,0.065409275,60000,45000,75000,23694,5721,980
12,2401,AEROSPACE ENGINEERING,15058.0,12953.0,2105.0,Engineering,0.139792801,147,11391,11106,2724,8790,794,0.065162085,60000,42000,70000,8184,2425,372
13,2404,BIOMEDICAL ENGINEERING,14955.0,8407.0,6548.0,Engineering,0.437846874,79,10047,9017,2694,5986,1019,0.09208386,60000,36000,70000,6439,2471,789
14,5008,MATERIALS SCIENCE,4279.0,2949.0,1330.0,Engineering,0.310820285,22,3307,2751,878,1967,78,0.023042836,60000,39000,65000,2626,391,81
15,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,4321.0,3526.0,795.0,Engineering,0.183985189,30,3608,2999,811,2004,23,0.006334343,58000,25000,74000,2439,947,263
16,2402,BIOLOGICAL ENGINEERING,8925.0,6062.0,2863.0,Engineering,0.320784314,55,6170,5455,1983,3413,589,0.087143069,57100,40000,76000,3603,1595,524
17,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,18968.0,12453.0,6515.0,Engineering,0.343473218,183,15604,14879,2243,11326,699,0.042875544,57000,37900,67000,8306,3235,640
18,2400,GENERAL ENGINEERING,61152.0,45683.0,15469.0,Engineering,0.252959838,425,44931,41235,7199,33540,2859,0.059824231,56000,36000,69000,26898,11734,3192
19,2403,ARCHITECTURAL ENGINEERING,2825.0,1835.0,990.0,Engineering,0.350442478,26,2575,2277,343,1848,170,0.061930783,54000,38000,65000,1665,649,137
20,3201,COURT REPORTING,1148.0,877.0,271.0,Law & Public Policy,0.236062718,14,930,808,223,808,11,0.011689692,54000,50000,54000,402,528,144
21,2102,COMPUTER SCIENCE,128319.0,99743.0,28576.0,Computers & Mathematics,0.222695002,1196,102087,91485,18726,70932,6884,0.063172771,53000,39000,70000,68622,25667,5144
22,1104,FOOD SCIENCE,,,,Agriculture & Natural Resources,,36,3149,2558,1121,1735,338,0.09693146,53000,32000,70000,1183,1274,485
23,2502,ELECTRICAL ENGINEERING TECHNOLOGY,11565.0,8181.0,3384.0,Engineering,0.292607004,97,8587,7530,1873,5681,824,0.087557114,52000,35000,60000,5126,2686,696
24,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,2993.0,2020.0,973.0,Engineering,0.325091881,22,2449,1658,1040,1151,70,0.027788805,52000,35000,62000,1911,305,70
25,6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,18713.0,13496.0,5217.0,Business,0.278790146,278,16413,15141,2420,13017,1015,0.058239614,51000,38000,60000,6342,5741,708
26,2406,CIVIL ENGINEERING,53153.0,41081.0,12072.0,Engineering,0.227117943,565,43041,38302,10080,29196,3270,0.070609574,50000,40000,60000,28526,9356,2899
27,5601,CONSTRUCTION SERVICES,18498.0,16820.0,1678.0,Industrial Arts & Consumer Services,0.090712509,295,16318,15690,1751,12313,1042,0.060023041,50000,36000,60000,3275,5351,703
28,6204,OPERATIONS LOGISTICS AND E-COMMERCE,11732.0,7921.0,3811.0,Business,0.32483805,156,10027,9639,1183,7724,504,0.047858703,50000,40000,60000,1466,3629,285
29,2499,MISCELLANEOUS ENGINEERING,9133.0,7398.0,1735.0,Engineering,0.189970437,118,7428,6811,1662,5476,597,0.074392523,50000,39000,65000,3445,2426,365
30,5402,PUBLIC POLICY,5978.0,2639.0,3339.0,Law & Public Policy,0.558548009,55,4547,4163,1306,2776,670,0.128426299,50000,35000,70000,1550,1871,340
31,2410,ENVIRONMENTAL ENGINEERING,4047.0,2662.0,1385.0,Engineering,0.342228811,26,2983,2384,930,1951,308,0.093588575,50000,42000,56000,2028,830,260
32,2500,ENGINEERING TECHNOLOGIES,3600.0,2695.0,905.0,Engineering,0.251388889,39,2799,2257,689,1723,163,0.055030385,50000,43000,60000,1017,1269,142
33,6099,MISCELLANEOUS FINE ARTS,3340.0,1970.0,1370.0,Arts,0.410179641,30,2914,2049,1067,1200,286,0.089375,50000,25000,66000,693,1714,755
34,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,720.0,488.0,232.0,Engineering,0.322222222,5,604,524,126,396,49,0.075038285,50000,42800,57000,501,50,49
35,6107,NURSING,209394.0,21773.0,187621.0,Health,0.896018988,2554,180903,151191,40818,122817,8497,0.044862724,48000,39000,58000,151643,26146,6193
36,6207,FINANCE,174506.0,115030.0,59476.0,Business,0.340824957,2189,145696,137921,21463,108595,9413,0.060686356,47000,35000,64000,24243,48447,9910
37,5501,ECONOMICS,139247.0,89749.0,49498.0,Social Science,0.355469059,1322,104117,96567,25325,70740,11452,0.099092317,47000,35000,65000,25582,37057,10653
38,6205,BUSINESS ECONOMICS,13302.0,7575.0,5727.0,Business,0.430536761,199,10914,10048,1937,8000,1165,0.096448381,46000,33000,58000,1578,4612,1284
39,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,4631.0,3477.0,1154.0,Engineering,0.24919024,73,4428,3988,597,3242,129,0.028308097,46000,35000,65000,1394,2454,480
40,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",2116.0,528.0,1588.0,Physical Sciences,0.75047259,31,1778,1392,579,1115,137,0.07154047,46000,38000,53000,162,1475,124
41,6201,ACCOUNTING,198633.0,94519.0,104114.0,Business,0.524152583,2042,165527,151967,27693,123169,12411,0.069749014,45000,34000,56000,11417,39323,10886
42,3700,MATHEMATICS,72397.0,39956.0,32441.0,Computers & Mathematics,0.448098678,541,58118,46399,18079,33738,2884,0.047277138,45000,33000,60000,34800,14829,4569
43,2100,COMPUTER AND INFORMATION SYSTEMS,36698.0,27392.0,9306.0,Computers & Mathematics,0.253583302,425,28459,26348,4332,21130,2934,0.093460326,45000,30000,60000,13344,11783,1672
44,5007,PHYSICS,32142.0,23080.0,9062.0,Physical Sciences,0.281936407,142,25302,19428,8721,14389,1282,0.048224496,45000,30000,68000,18674,4576,1823
45,6105,MEDICAL TECHNOLOGIES TECHNICIANS,15914.0,3916.0,11998.0,Health,0.75392736,190,13150,11510,2665,9005,505,0.03698279,45000,36000,50000,5546,7176,1002
46,2105,INFORMATION SCIENCES,11913.0,9005.0,2908.0,Computers & Mathematics,0.244103081,158,9881,9105,1468,7378,639,0.060741445,45000,32500,58000,4390,4102,608
47,3702,STATISTICS AND DECISION SCIENCE,6251.0,2960.0,3291.0,Computers & Mathematics,0.526475764,37,4247,3190,1840,2151,401,0.086273666,45000,26700,60000,2298,1200,343
